Rank,Title,Year,Composer(s),Lyricist(s),URL
49,How Deep Is the Ocean?,1932,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-0/howdeepistheocean.htm
50,I Cover the Waterfront,1933,Johnny Green,Edward Heyman,https://www.jazzstandards.com/compositions-0/icoverthewaterfront.htm
51,Come Rain or Come Shine,1946,Harold Arlen,Johnny Mercer,https://www.jazzstandards.com/compositions-0/comerainorcomeshine.htm
52,There Is No Greater Love,1936,Isham Jones,Marty Symes,https://www.jazzstandards.com/compositions-0/thereisnogreaterlove.htm
53,You Don't Know What Love Is,1941,"Gene De Paul, Don Raye","Gene De Paul, Don Raye",https://www.jazzstandards.com/compositions-0/youdontknowwhatloveis.htm
54,But Not for Me,1930,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-0/butnotforme.htm
55,On the Sunny Side of the Street,1930,Jimmy McHugh,Dorothy Fields,https://www.jazzstandards.com/compositions-0/onthesunnysideofthestreet.htm
56,Misty,1954,Erroll Garner,Johnny Burke,https://www.jazzstandards.com/compositions-0/misty.htm
57,Love Is Here to Stay,1938,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-0/loveisheretostay.htm
58,Perdido,1942,Juan Tizol,"Ervin Drake, Hans Jan Lengsfelder",https://www.jazzstandards.com/compositions-0/perdido.htm
59,Tea for Two,1924,Vincent Youmans,Irving Caesar,https://www.jazzstandards.com/compositions-0/teafortwo.htm
60,It Could Happen to You,1944,Jimmy Van Heusen,Johnny Burke,https://www.jazzstandards.com/compositions-0/itcouldhappentoyou.htm
61,I Got It Bad (and That Ain't Good),1941,Duke Ellington,Paul Francis Webster,https://www.jazzstandards.com/compositions-0/igotitbad.htm
62,Skylark,1941,Hoagy Carmichael,Johnny Mercer,https://www.jazzstandards.com/compositions-0/skylark.htm
63,Over the Rainbow,1938,Harold Arlen,Yip Harburg,https://www.jazzstandards.com/compositions-0/overtherainbow.htm
64,The Nearness of You,1937,Hoagy Carmichael,Ned Washington,https://www.jazzstandards.com/compositions-0/thenearnessofyou.htm
65,If I Had You,1928,"James Campbell, Reginald Connelly, Ted Shapiro","James Campbell, Reginald Connelly, Ted Shapiro",https://www.jazzstandards.com/compositions-0/ifihadyou.htm
66,(I Don't Stand A) Ghost of a Chance,1932,Victor Young,"Bing Crosby, Ned Washington",https://www.jazzstandards.com/compositions-0/ghostofachance.htm
67,Angel Eyes,1946,Matt Dennis,Earl K. Brent,https://www.jazzstandards.com/compositions-0/angeleyes.htm
68,Out of Nowhere,1931,Johnny Green,Edward Heyman,https://www.jazzstandards.com/compositions-0/outofnowhere.htm
69,Lover Come Back to Me,1928,Sigmund Romberg,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-0/lovercomebacktome.htm
70,Darn That Dream,1939,Jimmy Van Heusen,Eddie De Lange,https://www.jazzstandards.com/compositions-0/darnthatdream.htm
71,All of Me,1931,"Gerald Marks, Seymour Simons","Gerald Marks, Seymour Simons",https://www.jazzstandards.com/compositions-0/allofme.htm
