Rank,Title,Year,Composer(s),Lyricist(s),URL
212,Tangerine,1942,Victor Schertzinger,Johnny Mercer,https://www.jazzstandards.com/compositions-2/tangerine.htm
213,How Long Has This Been Going On?,1927,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-2/howlonghasthisbeengoingon.htm
214,Taking a Chance on Love,1940,Vernon Duke,"Ted Fetter, John Latouche",https://www.jazzstandards.com/compositions-2/takingachanceonlove.htm
215,I Want to Be Happy,1924,Vincent Youmans,Irving Caesar,https://www.jazzstandards.com/compositions-2/iwanttobehappy.htm
216,Wave,1967,Antonio Carlos Jobim,Antonio Carlos Jobim,https://www.jazzstandards.com/compositions-2/wave.htm
217,When Your Lover Has Gone,1931,Einar Aaron Swan,Einar Aaron Swan,https://www.jazzstandards.com/compositions-2/whenyourloverhasgone.htm
218,Confirmation,1953,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-2/confirmation.htm
219,Lester Leaps In,1940,Lester Young,Lester Young,https://www.jazzstandards.com/compositions-2/lesterleapsin.htm
220,Ev'ry Time We Say Goodbye,1944,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-2/evrytimewesaygoodbye.htm
221,Chelsea Bridge,1941,Billy Strayhorn,Billy Strayhorn,https://www.jazzstandards.com/compositions-2/chelseabridge.htm
222,Have You Met Miss Jones,1937,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-2/haveyoumetmissjones.htm
223,In Your Own Sweet Way,1955,Dave Brubeck,Iola Brubeck,https://www.jazzstandards.com/compositions-2/inyourownsweetway.htm
224,Bugle Call Rag,1922,"Jack Pettis, Billy Meyers, Elmer Schoebel","Jack Pettis, Billy Meyers, Elmer Schoebel",https://www.jazzstandards.com/compositions-2/buglecallrag.htm
225,When You're Smiling,1928,"Mark Fisher, Larry Shay",Joe Goodwin,https://www.jazzstandards.com/compositions-2/whenyouresmiling.htm
226,I'm Coming Virginia,1927,Donald Heywood,Will Marion Cook,https://www.jazzstandards.com/compositions-2/imcomingvirginia.htm
227,I Hear a Rhapsody,1940,"George Fragos, Jack Baker, Dick Gasparre","George Fragos, Jack Baker, Dick Gasparre",https://www.jazzstandards.com/compositions-2/iheararhapsody.htm
228,Spring Is Here,1938,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-2/springishere.htm
229,I'm Beginning to See the Light,1944,"Duke Ellington, Johnny Hodges, Harry James",Don George,https://www.jazzstandards.com/compositions-2/imbeginningtoseethelight.htm
230,Just in Time,1956,Jule Styne,"Betty Comden, Adolph Green",https://www.jazzstandards.com/compositions-2/justintime.htm
231,Just Squeeze Me (But Don't Tease Me),1941,Duke Ellington,Lee Gaines,https://www.jazzstandards.com/compositions-2/justsqueezeme.htm
232,What Is There to Say,1933,Vernon Duke,Yip Harburg,https://www.jazzstandards.com/compositions-2/whatistheretosay.htm
233,Cottontail,1940,"Duke Ellington, Jon Hendricks","Duke Ellington, Jon Hendricks",https://www.jazzstandards.com/compositions-2/cottontail.htm
234,Ill Wind,1934,Harold Arlen,Ted Koehler,https://www.jazzstandards.com/compositions-2/illwind.htm
235,You and the Night and the Music,1934,Arthur Schwartz,Howard Dietz,https://www.jazzstandards.com/compositions-2/youandthenightandthemusic.htm
236,Ol' Man River,1927,Jerome Kern,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-2/olmanriver.htm
237,Day Dream,1941,"Duke Ellington, Billy Strayhorn",John Latouche,https://www.jazzstandards.com/compositions-2/daydream.htm
238,Stars Fell on Alabama,1934,Frank S. Perkins,Mitchell Parish,https://www.jazzstandards.com/compositions-2/starsfellonalabama.htm
239,St. James Infirmary,1928,"Traditional, Joe Primrose","Traditional, Joe Primrose",https://www.jazzstandards.com/compositions-2/stjamesinfirmary.htm
240,Someday My Prince Will Come,1937,Frank E. Churchill,Larry Morey,https://www.jazzstandards.com/compositions-2/somedaymyprincewillcome.htm
241,We'll Be Together Again,1945,Carl Fischer,Frankie Laine,https://www.jazzstandards.com/compositions-2/wellbetogetheragain.htm
242,Old Devil Moon,1946,Burton Lane,Yip Harburg,https://www.jazzstandards.com/compositions-2/olddevilmoon.htm
243,You're Driving Me Crazy (What Did I Do?),1930,Walter Donaldson,Walter Donaldson,https://www.jazzstandards.com/compositions-2/youredrivingmecrazy.htm
244,That Old Feeling,1937,Sammy Fain,Lew Brown,https://www.jazzstandards.com/compositions-2/thatoldfeeling.htm
245,I Cried for You,1923,"Gus Arnheim, Arthur Freed, Abe Lyman","Gus Arnheim, Arthur Freed, Abe Lyman",https://www.jazzstandards.com/compositions-2/icriedforyou.htm
246,My Heart Stood Still,1927,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-2/myheartstoodstill.htm
247,Begin the Beguine,1935,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-2/beginthebeguine.htm
248,All Blues,1959,Miles Davis,Miles Davis,https://www.jazzstandards.com/compositions-2/allblues.htm
249,Moten Swing,1932,"Buster Moten, Bennie Moten","Buster Moten, Bennie Moten",https://www.jazzstandards.com/compositions-2/motenswing.htm
250,I'm Old Fashioned,1942,Jerome Kern,Johnny Mercer,https://www.jazzstandards.com/compositions-2/imoldfashioned.htm
251,Lullaby of the Leaves,1932,Bernice Petkere,Joseph Young,https://www.jazzstandards.com/compositions-2/lullabyoftheleaves.htm
252,Invitation,1952,Bronislau Kaper,Paul Francis Webster,https://www.jazzstandards.com/compositions-2/invitation.htm
253,Don't Explain,1944,Billie Holiday,Arthur Herzog Jr.,https://www.jazzstandards.com/compositions-2/dontexplain.htm
254,Giant Steps,1959,John Coltrane,John Coltrane,https://www.jazzstandards.com/compositions-2/giantsteps.htm
255,It's the Talk of the Town,1933,Jerry Livingston,"Marty Symes, Al J Neiburg",https://www.jazzstandards.com/compositions-2/itsthetalkofthetown.htm
256,Flying Home,1940,"Benny Goodman, Lionel Hampton",Sid Robin,https://www.jazzstandards.com/compositions-2/flyinghome.htm
257,Dancing in the Dark,1931,Arthur Schwartz,Howard Dietz,https://www.jazzstandards.com/compositions-2/dancinginthedark.htm
258,I'm Confessin' That I Love You,1930,"Ellis Reynolds, Doc Daugherty",Al J Neiburg,https://www.jazzstandards.com/compositions-2/imconfessinthatiloveyou.htm
259,Tiger Rag,1917,The Original Dixieland Jazz Band,Harry Decosta,https://www.jazzstandards.com/compositions-2/tigerrag.htm
260,Crazy Rhythm,1928,"Roger Wolfe Kahn, Joseph Meyer",Irving Caesar,https://www.jazzstandards.com/compositions-2/crazyrhythm.htm
261,That's All,1952,"Bob Haymes, Alan Brandt","Bob Haymes, Alan Brandt",https://www.jazzstandards.com/compositions-2/thatsall.htm
262,Once in a While,1937,Michael Edwards,Bud Green,https://www.jazzstandards.com/compositions-2/onceinawhile.htm
263,Naima,1959,John Coltrane,John Coltrane,https://www.jazzstandards.com/compositions-2/naima.htm
264,Them There Eyes,1930,"Maceo Pinkard, Doris Tauber, William G Tracey","Maceo Pinkard, Doris Tauber, William G Tracey",https://www.jazzstandards.com/compositions-2/themthereeyes.htm
265,Almost Like Being in Love,1947,Frederick Loewe,Alan Jay Lerner,https://www.jazzstandards.com/compositions-2/almostlikebeinginlove.htm
266,As Time Goes By,1931,Herman Hupfeld,Herman Hupfeld,https://www.jazzstandards.com/compositions-2/astimegoesby.htm
267,Indian Summer,1919,Victor Herbert,Al Dubin,https://www.jazzstandards.com/compositions-2/indiansummer.htm
268,Margie,1920,"Con Conrad, J. Russel Robinson",Benny Davis,https://www.jazzstandards.com/compositions-2/margie.htm
269,Sugar (That Sugar Baby O' Mine),1927,"Maceo Pinkard, Sidney D Mitchell, Edna Alexander","Maceo Pinkard, Sidney D Mitchell, Edna Alexander",https://www.jazzstandards.com/compositions-2/sugar.htm
270,I Loves You Porgy,1935,"Ira Gershwin, DuBose Heyward, George Gershwin","Ira Gershwin, DuBose Heyward, George Gershwin",https://www.jazzstandards.com/compositions-2/ilovesyouporgy.htm
271,Scrapple from the Apple,1947,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-2/scrapplefromtheapple.htm
272,I'll Be Around,1942,Alec Wilder,Alec Wilder,https://www.jazzstandards.com/compositions-2/illbearound.htm
273,The Night Has a Thousand Eyes,1948,Jerry Brainin,Buddy Bernier,https://www.jazzstandards.com/compositions-2/thenighthasathousandeyes.htm
274,September in the Rain,1937,Harry Warren,Al Dubin,https://www.jazzstandards.com/compositions-2/septemberintherain.htm
275,Jingle Bells,1859,James Lord Pierpoint,James Lord Pierpoint,https://www.jazzstandards.com/compositions-2/jinglebells.htm
276,The Shadow of Your Smile,1965,Johnny Mandel,Paul Francis Webster,https://www.jazzstandards.com/compositions-2/theshadowofyoursmile.htm
277,Good Bait,1944,"Count Basie, Tadd Dameron","Count Basie, Tadd Dameron",https://www.jazzstandards.com/compositions-2/goodbait.htm
278,Thou Swell,1927,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-2/thouswell.htm
279,It's All Right with Me,1953,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-2/itsallrightwithme.htm
280,Oleo,1954,Sonny Rollins,Sonny Rollins,https://www.jazzstandards.com/compositions-2/oleo.htm
281,Sunday,1926,"Ned Miller, Chester Cohn, Jule Styne, Bennie Krueger","Ned Miller, Chester Cohn, Jule Styne, Bennie Krueger",https://www.jazzstandards.com/compositions-2/sunday.htm
282,When the Saints Go Marching In,1896,Traditional,Traditional,https://www.jazzstandards.com/compositions-2/whenthesaintsgomarchingin.htm
283,A Time for Love,1966,Johnny Mandel,Paul Francis Webster,https://www.jazzstandards.com/compositions-2/atimeforlove.htm
284,There's a Small Hotel,1936,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-2/theresasmallhotel.htm
285,I Know That You Know,1926,Vincent Youmans,Anne Caldwell,https://www.jazzstandards.com/compositions-2/iknowthatyouknow.htm
286,I Hadn't Anyone Till You,1938,Ray Noble,Ray Noble,https://www.jazzstandards.com/compositions-2/ihadntanyonetillyou.htm
287,Milestones,1958,Miles Davis,Miles Davis,https://www.jazzstandards.com/compositions-2/milestones.htm
288,China Boy,1922,"Phil Boutelje, Richard A Winfree","Phil Boutelje, Richard A Winfree",https://www.jazzstandards.com/compositions-2/chinaboy.htm
289,Falling in Love with Love,1938,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-2/fallinginlovewithlove.htm
290,I Concentrate on You,1939,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-2/iconcentrateonyou.htm
291,Li'l Darlin',1957,Neal Hefti,Neal Hefti,https://www.jazzstandards.com/compositions-2/lildarlin.htm
292,My Ship,1941,Kurt Weill,Ira Gershwin,https://www.jazzstandards.com/compositions-2/myship.htm
293,Airegin,1954,Sonny Rollins,Sonny Rollins,https://www.jazzstandards.com/compositions-2/airegin.htm
294,Besame Mucho,1941,Consuelo Velazquez,Sunny Skylar,https://www.jazzstandards.com/compositions-2/besamemucho.htm
295,Deep Purple,1934,Peter De Rose,Mitchell Parish,https://www.jazzstandards.com/compositions-2/deeppurple.htm
296,All God's Chillun Got Rhythm,1937,"Walter Jurmann, Gus Kahn, Bronislau Kaper","Walter Jurmann, Gus Kahn, Bronislau Kaper",https://www.jazzstandards.com/compositions-2/allgodschillungotrhythm.htm
297,Whisper Not,1956,Benny Golson,Leonard Feather,https://www.jazzstandards.com/compositions-2/whispernot.htm
298,Close Your Eyes,1933,Bernice Petkere,Bernice Petkere,https://www.jazzstandards.com/compositions-2/closeyoureyes.htm
299,Long Ago (and Far Away),1944,Jerome Kern,Ira Gershwin,https://www.jazzstandards.com/compositions-2/longago.htm
300,I Fall in Love Too Easily,1944,Jule Styne,Sammy Cahn,https://www.jazzstandards.com/compositions-2/ifallinlovetooeasily.htm
301,Con Alma,1956,Dizzy Gillespie,Dizzy Gillespie,https://www.jazzstandards.com/compositions-3/conalma.htm
302,Always,1925,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-3/always.htm
303,I Never Knew,1925,Ted Fio Rito,Gus Kahn,https://www.jazzstandards.com/compositions-3/ineverknew.htm
304,I've Grown Accustomed to Her Face,1956,Frederick Loewe,Alan Jay Lerner,https://www.jazzstandards.com/compositions-3/ivegrownaccustomedtoherface.htm
305,The Christmas Song,1946,"Mel Torme, Robert Wells","Mel Torme, Robert Wells",https://www.jazzstandards.com/compositions-3/thechristmassong.htm
306,King Porter Stomp,1910,Jelly Roll Morton,"Sonny Burke, Sid Robin",https://www.jazzstandards.com/compositions-3/kingporterstomp.htm
307,My Shining Hour,1943,Harold Arlen,Johnny Mercer,https://www.jazzstandards.com/compositions-3/myshininghour.htm
308,Jeepers Creepers,1938,Harry Warren,Johnny Mercer,https://www.jazzstandards.com/compositions-3/jeeperscreepers.htm
309,Love Letters,1945,Victor Young,Edward Heyman,https://www.jazzstandards.com/compositions-3/loveletters.htm
310,You Took Advantage of Me,1928,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-3/youtookadvantageofme.htm
311,Secret Love,1953,Sammy Fain,Paul Francis Webster,https://www.jazzstandards.com/compositions-3/secretlove.htm
312,I Wish I Knew,1945,Harry Warren,Mack Gordon,https://www.jazzstandards.com/compositions-3/iwishiknew.htm
313,Well You Needn't,1944,Thelonious Monk,Mike Ferro,https://www.jazzstandards.com/compositions-3/wellyouneednt.htm
314,Soft Winds,1940,Benny Goodman,Fred Royal,https://www.jazzstandards.com/compositions-3/softwinds.htm
315,This Is Always,1946,Harry Warren,Mack Gordon,https://www.jazzstandards.com/compositions-3/thisisalways.htm
316,Good Morning Heartache,1945,"Ervin Drake, Dan Fisher, Irene Higginbotham","Ervin Drake, Dan Fisher, Irene Higginbotham",https://www.jazzstandards.com/compositions-3/goodmorningheartache.htm
317,Until the Real Thing Comes Along,1936,"Mann Holiner, Alberta Nichols, Saul Chaplin",Sammy Cahn,https://www.jazzstandards.com/compositions-3/untiltherealthingcomesalong.htm
318,The More I See You,1945,Harry Warren,Mack Gordon,https://www.jazzstandards.com/compositions-3/themoreiseeyou.htm
319,I'm a Fool to Want You,1951,"Joel S Herron, Frank Sinatra, Jack Wolf","Joel S Herron, Frank Sinatra, Jack Wolf",https://www.jazzstandards.com/compositions-3/imafooltowantyou.htm
320,Strike Up the Band,1929,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-3/strikeuptheband.htm
321,Bemsha Swing,1952,"Thelonious Monk, Denzil Best","Thelonious Monk, Denzil Best",https://www.jazzstandards.com/compositions-3/bemshaswing.htm
322,Please Send Me Someone to Love,1950,Percy Mayfield,Percy Mayfield,https://www.jazzstandards.com/compositions-3/pleasesendmesomeonetolove.htm
323,A Child Is Born,1969,Thad Jones,Alec Wilder,https://www.jazzstandards.com/compositions-3/achildisborn.htm
324,Born to Be Blue,1946,"Mel Torme, Robert Wells","Mel Torme, Robert Wells",https://www.jazzstandards.com/compositions-3/borntobeblue.htm
325,Midnight Sun,1947,J Francis Burke,Johnny Mercer,https://www.jazzstandards.com/compositions-3/midnightsun.htm
326,Winter Wonderland,1934,Felix Bernard,Richard B Smith,https://www.jazzstandards.com/compositions-3/winterwonderland.htm
327,Blue and Sentimental,1938,"Count Basie, Mack David, Jerry Livingston","Count Basie, Mack David, Jerry Livingston",https://www.jazzstandards.com/compositions-3/blueandsentimental.htm
328,Will You Still Be Mine,1940,Matt Dennis,Thomas Adair,https://www.jazzstandards.com/compositions-3/willyoustillbemine.htm
329,Fascinating Rhythm,1924,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-3/fascinatingrhythm.htm
330,On the Street Where You Live,1956,Frederick Loewe,Alan Jay Lerner,https://www.jazzstandards.com/compositions-3/onthestreetwhereyoulive.htm
331,When It's Sleepy Time Down South,1931,"Clarence Muse, Leon T Rene, Otis J Rene Jr","Clarence Muse, Leon T Rene, Otis J Rene Jr",https://www.jazzstandards.com/compositions-3/whenitssleepytimedownsouth.htm
332,Never Let Me Go,1956,Jay Livingston,Raymond B Evans,https://www.jazzstandards.com/compositions-3/neverletmego.htm
333,My Favorite Things,1959,Richard Rodgers,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-3/myfavoritethings.htm
334,Poinciana,1936,Nat Simon,Buddy Bernier,https://www.jazzstandards.com/compositions-3/poinciana.htm
335,Bewitched,1941,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-3/bewitched.htm
336,The Lady Is a Tramp,1937,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-3/theladyisatramp.htm
337,Isn't It Romantic,1932,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-3/isntitromantic.htm
338,Deed I Do,1926,Fred Rose,Walter Hirsch,https://www.jazzstandards.com/compositions-3/deedido.htm
339,Can't Help Lovin' Dat Man,1927,Jerome Kern,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-3/canthelplovindatman.htm
340,In the Wee Small Hours of the Morning,1955,David A Mann,Bob Hilliard,https://www.jazzstandards.com/compositions-3/intheweesmallhoursofthemorning.htm
341,Walkin',1949,Richard Carpenter,Richard Carpenter,https://www.jazzstandards.com/compositions-3/walkin.htm
342,Muskrat Ramble,1926,Kid Ory,Ray Gilbert,https://www.jazzstandards.com/compositions-3/muskratramble.htm
343,Bags' Groove,1954,Milt Jackson,Milt Jackson,https://www.jazzstandards.com/compositions-3/bagsgroove.htm
344,Too Marvelous for Words,1937,Richard A. Whiting,Johnny Mercer,https://www.jazzstandards.com/compositions-3/toomarvelousforwords.htm
345,They Say It's Wonderful,1946,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-3/theysayitswonderful.htm
346,Epistrophy,1942,"Kenneth S Clark, Thelonious Monk, Cootie Williams","Kenneth S Clark, Thelonious Monk, Cootie Williams",https://www.jazzstandards.com/compositions-3/epistrophy.htm
347,Rhythm-A-Ning,1958,Thelonious Monk,Thelonious Monk,https://www.jazzstandards.com/compositions-3/rhythmaning.htm
348,When You Wish Upon a Star,1940,Leigh Harline,Ned Washington,https://www.jazzstandards.com/compositions-3/whenyouwishuponastar.htm
349,When Lights Are Low,1936,Benny Carter,Spencer Williams,https://www.jazzstandards.com/compositions-3/whenlightsarelow.htm
350,Work Song,1960,Nat Adderley,Oscar Brown Jr,https://www.jazzstandards.com/compositions-3/worksong.htm
351,12th Street Rag,1914,Euday L Bowman,"Jack S Sumner, Spencer Williams, Andy Razaf",https://www.jazzstandards.com/compositions-3/12thstreetrag.htm
352,Fly Me to the Moon (In Other Words),1954,Bart Howard,Bart Howard,https://www.jazzstandards.com/compositions-3/flymetothemoon.htm
353,Where Are You,1936,Jimmy McHugh,Harold Adamson,https://www.jazzstandards.com/compositions-3/whereareyou.htm
354,Now's the Time,1945,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-3/nowsthetime.htm
355,Ruby My Dear,1945,Thelonious Monk,Thelonious Monk,https://www.jazzstandards.com/compositions-3/rubymydear.htm
356,All of You,1954,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-3/allofyou.htm
357,I'm Glad There Is You,1941,"Jimmy Dorsey, Paul Madeira, Paul Mertz","Jimmy Dorsey, Paul Madeira, Paul Mertz",https://www.jazzstandards.com/compositions-3/imgladthereisyou.htm
358,Fine and Dandy,1930,Kay Swift,Paul James,https://www.jazzstandards.com/compositions-3/fineanddandy.htm
359,On the Alamo,1922,Isham Jones,Gus Kahn,https://www.jazzstandards.com/compositions-3/onthealamo.htm
360,I Want a Little Girl,1930,Murray Mencher,Billy Moll,https://www.jazzstandards.com/compositions-3/iwantalittlegirl.htm
361,It Had to Be You,1924,Isham Jones,Gus Kahn,https://www.jazzstandards.com/compositions-3/ithadtobeyou.htm
362,Remember,1925,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-3/remember.htm
363,I'm Just a Lucky So and So,1945,"Mack David, Duke Ellington","Mack David, Duke Ellington",https://www.jazzstandards.com/compositions-3/imjustaluckysoandso.htm
364,Someday Sweetheart,1919,"Benjamin F Spikes, John C Spikes","Benjamin F Spikes, John C Spikes",https://www.jazzstandards.com/compositions-3/somedaysweetheart.htm
365,As Long As I Live,1934,Harold Arlen,Ted Koehler,https://www.jazzstandards.com/compositions-3/aslongasilive.htm
366,Broadway,1940,"Wilbur H Bird, Teddy McRae, Henri Woode","Wilbur H Bird, Teddy McRae, Henri Woode",https://www.jazzstandards.com/compositions-3/broadway.htm
367,What a Difference a Day Made,1934,Maria Grever,Stanley Adams,https://www.jazzstandards.com/compositions-3/whatadifferenceadaymade.htm
368,Way Down Yonder in New Orleans,1922,"Henry Creamer, Turner Layton","Henry Creamer, Turner Layton",https://www.jazzstandards.com/compositions-3/waydownyonderinneworleans.htm
369,Rockin' in Rhythm,1930,"Harry Carney, Duke Ellington, Irving Mills","Harry Carney, Duke Ellington, Irving Mills",https://www.jazzstandards.com/compositions-3/rockininrhythm.htm
370,Without a Song,1929,Vincent Youmans,"Edward Eliscu, Billy Rose",https://www.jazzstandards.com/compositions-3/withoutasong.htm
371,St. Thomas,1956,Sonny Rollins,Sonny Rollins,https://www.jazzstandards.com/compositions-3/stthomas.htm
372,It's You or No One,1948,Jule Styne,Sammy Cahn,https://www.jazzstandards.com/compositions-3/itsyouornoone.htm
373,What Am I Here For,1942,Duke Ellington,Frankie Laine,https://www.jazzstandards.com/compositions-3/whatamiherefor.htm
374,You're My Thrill,1934,"Sidney Clare, Jay Gorney","Sidney Clare, Jay Gorney",https://www.jazzstandards.com/compositions-3/youremythrill.htm
375,You Can Depend on Me,1932,"Charles Carpenter, Louis Dunlap, Earl Hines","Charles Carpenter, Louis Dunlap, Earl Hines",https://www.jazzstandards.com/compositions-3/youcandependonme.htm
376,Street of Dreams,1932,Victor Young,Sam M. Lewis,https://www.jazzstandards.com/compositions-3/streetofdreams.htm
377,Why Was I Born,1929,Jerome Kern,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-3/whywasiborn.htm
378,Keepin' Out of Mischief Now,1932,Fats Waller,Andy Razaf,https://www.jazzstandards.com/compositions-3/keepinoutofmischiefnow.htm
379,My Ideal,1930,"Newell Chase, Richard A. Whiting",Leo Robin,https://www.jazzstandards.com/compositions-3/myideal.htm
380,Jazz Me Blues,1921,Tom Delaney,Tom Delaney,https://www.jazzstandards.com/compositions-3/jazzmeblues.htm
381,Soon,1929,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-3/soon.htm
382,Corcovado (Quiet Nights of Quiet Stars),1962,Antonio Carlos Jobim,Gene Lees,https://www.jazzstandards.com/compositions-3/corcovado.htm
383,Hot House,1945,Tadd Dameron,Tadd Dameron,https://www.jazzstandards.com/compositions-3/hothouse.htm
384,Hallelujah,1927,Vincent Youmans,"Clifford Grey, Leo Robin",https://www.jazzstandards.com/compositions-3/hallelujah.htm
385,Topsy,1937,"Edgar William Battle, Eddie Durham","Edgar William Battle, Eddie Durham",https://www.jazzstandards.com/compositions-3/topsy.htm
386,I Wished on the Moon,1935,"Dorothy Parker, Ralph Rainger","Dorothy Parker, Ralph Rainger",https://www.jazzstandards.com/compositions-3/iwishedonthemoon.htm
387,All or Nothing At All,1940,"Arthur Altman, Jack Lawrence","Arthur Altman, Jack Lawrence",https://www.jazzstandards.com/compositions-3/allornothingatall.htm
388,Crazy He Calls Me,1949,Carl Sigman,Bob Russell,https://www.jazzstandards.com/compositions-3/crazyhecallsme.htm
389,Early Autumn,1949,"Ralph J Burns, Woody Herman",Johnny Mercer,https://www.jazzstandards.com/compositions-3/earlyautumn.htm
390,From This Moment On,1950,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-3/fromthismomenton.htm
391,Too Close for Comfort,1956,"Jerrold L Bock, Lawrence Holofcener, George Weiss","Jerrold L Bock, Lawrence Holofcener, George Weiss",https://www.jazzstandards.com/compositions-3/toocloseforcomfort.htm
392,The End of a Love Affair,1950,Edward C Redding,Edward C Redding,https://www.jazzstandards.com/compositions-3/theendofaloveaffair.htm
393,You're My Everything,1931,"Harry Warren, Joseph Young",Mort Dixon,https://www.jazzstandards.com/compositions-3/youremyeverything.htm
394,Bernie's Tune,1953,"Bernie Miller, Jerry Leiber, Mike Stoller","Bernie Miller, Jerry Leiber, Mike Stoller",https://www.jazzstandards.com/compositions-3/berniestune.htm
395,You've Changed,1942,Carl Fischer,Bill William Carey,https://www.jazzstandards.com/compositions-3/youvechanged.htm
396,The Masquerade Is Over,1938,Allie Wrubel,Herb Magidson,https://www.jazzstandards.com/compositions-3/themasqueradeisover.htm
397,Dark Eyes,1884,Florian Hermann,Yevhen Hrebinka,https://www.jazzstandards.com/compositions-3/darkeyes.htm
398,A Flower Is a Lovesome Thing,1944,Billy Strayhorn,Billy Strayhorn,https://www.jazzstandards.com/compositions-3/aflowerisalovesomething.htm
399,The Surrey with the Fringe on Top,1943,Richard Rodgers,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-3/thesurreywiththefringeontop.htm
400,Watch What Happens,1964,Michel Jean Legrand,"Norman Gimbel, Jacques Louis Demy",https://www.jazzstandards.com/compositions-3/watchwhathappens.htm
401,There'll Be Some Changes Made,1921,W Benton Overstreet,Billy Higgins,https://www.jazzstandards.com/compositions-4/therellbesomechangesmade.htm
402,Solar,1954,Miles Davis,Miles Davis,https://www.jazzstandards.com/compositions-4/solar.htm
403,Greensleeves,rad.,Traditional,Traditional,https://www.jazzstandards.com/compositions-4/greensleeves.htm
404,White Christmas,1940,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-4/whitechristmas.htm
405,Some of These Days,1910,Shelton Brooks,Shelton Brooks,https://www.jazzstandards.com/compositions-4/someofthesedays.htm
406,My Blue Heaven,1927,Walter Donaldson,George Whiting,https://www.jazzstandards.com/compositions-4/myblueheaven.htm
407,Coquette,1928,"Johnny Green, Carmen Lombardo",Gus Kahn,https://www.jazzstandards.com/compositions-4/coquette.htm
408,Louise,1929,Richard A. Whiting,Leo Robin,https://www.jazzstandards.com/compositions-4/louise.htm
409,Trouble in Mind,1926,Richard M Jones,Richard M Jones,https://www.jazzstandards.com/compositions-4/troubleinmind.htm
410,Get Out of Town,1938,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-4/getoutoftown.htm
411,Passion Flower,1944,Billy Strayhorn,Billy Strayhorn,https://www.jazzstandards.com/compositions-4/passionflower.htm
412,Raincheck,1942,Billy Strayhorn,Billy Strayhorn,https://www.jazzstandards.com/compositions-4/raincheck.htm
413,Farewell Blues,1922,"Paul Joseph Mares, Elmer Schoebel, Leon Roppolo","Paul Joseph Mares, Elmer Schoebel, Leon Roppolo",https://www.jazzstandards.com/compositions-4/farewellblues.htm
414,I Hear Music,1940,Burton Lane,Frank Loesser,https://www.jazzstandards.com/compositions-4/ihearmusic.htm
415,I Ain't Got Nobody (and Nobody Cares for Me),1915,Spencer Williams,Roger Graham,https://www.jazzstandards.com/compositions-4/iaintgotnobody.htm
416,This Time the Dream's on Me,1941,Harold Arlen,Johnny Mercer,https://www.jazzstandards.com/compositions-4/thistimethedreamsonme.htm
417,Santa Claus Is Coming to Town,1934,J. Fred Coots,Haven Gillespie,https://www.jazzstandards.com/compositions-4/santaclausiscomingtotown.htm
418,Nica's Dream,1956,Horace Silver,Horace Silver,https://www.jazzstandards.com/compositions-4/nicasdream.htm
419,Who Cares? (So Long As You Care for Me),1931,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-4/whocares.htm
420,It Ain't Necessarily So,1935,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-4/itaintnecessarilyso.htm
421,Shiny Stockings,1955,Frank Foster,Ella Fitzgerald,https://www.jazzstandards.com/compositions-4/shinystockings.htm
